STCOFIPS,fips-int,CountyName,State,bcows1954adj,mcows1954adj,cows1954adj,othercows1954,hogs1954adj,chickens1954adj,broilers1954adj,turkeys1954adj,sheep1954adj,horses1954adj,Cattle_N_kg-1954,Cattle_P_kg-1954,Hogs_N_kg-1954,Hogs_P_kg-1954,Poultry_N_kg-1954,Poultry_P_kg-1954,Other_N_kg-1954,Other_P_kg-1954,Total_N_kg-1954,Total_P_kg-1954
01001,1001,Autauga,AL,11997,2348,26344,11999,11218,67630,38374,280,140,405,1177820.095,348845.7822,104141.2934,46285.01928,49013.3116,18561.17092,19690.509,3411.582,1350665.209,417103.5544
01003,1003,Baldwin,AL,18325,6437,47608,22846,15794,206408,27244,776,3648,627,2122482.876,596773.5733,146622.1775,65165.41224,125168.5454,49320.51,52952.0538,9189.1524,2447225.652,720448.648
01005,1005,Barbour,AL,15344,3609,33787,14834,30086,51059,17416,310,464,640,1529858.857,448349.515,279300.6733,124133.6326,33905.36603,13086.48337,32705.5184,5667.6032,1875770.415,591237.2341
01007,1007,Bibb,AL,3635,1344,9815,4836,3571,29738,50260,291,93,207,434722.4326,121415.2061,33151.05711,14733.80316,30676.63946,10903.81969,10204.4583,1768.1184,508754.5875,148820.9474
01009,1009,Blount,AL,3983,5283,21687,12421,11310,312044,267314.32,87,269,496,941944.4675,226873.3416,104995.3671,46664.6076,250182.9241,92817.64876,24753.5189,4289.2172,1321876.278,370644.8151
01011,1011,Bullock,AL,22735,2109,38823,13979,6517,25073,19320,240,128,1088,1811160.118,569481.5871,60499.98297,26888.88132,19605.23821,7315.438583,51272.3968,8882.4064,1942537.736,612568.3134
01013,1013,Butler,AL,11039,3712,26090,11339,12206,56924,111412,378,77,517,1193328.493,339046.0878,113313.3025,50361.46776,62779.08063,22084.3402,24469.7387,4239.1976,1393890.615,415731.0934
01015,1015,Calhoun,AL,3474,4051,14910,7385,5818,71694,136139.36,179,438,387,679466.144,165518.404,54010.87938,24004.83528,77820.57507,27431.79004,20807.4528,3606.4044,832105.0512,220561.4337
01017,1017,Chambers,AL,10451,4773,26571,11347,5142,52108,4452,174,401,534,1230034.341,338502.2526,47735.29422,21215.68632,30932.30229,12250.40914,27379.3581,4744.6788,1336081.295,376713.0269
01019,1019,Cherokee,AL,2752,3137,12072,6183,11635,84034,76705.44,107,457,269,543825.4808,132964.8422,108012.4754,48005.5446,68686.74434,25391.94096,15461.9767,2680.5016,735986.6772,209042.8293
01021,1021,Chilton,AL,5761,4737,19117,8619,7247,104155,44257.64,242,115,507,887021.8778,226280.5478,67276.87227,29900.83212,71384.18338,27350.21152,24255.0165,4202.172,1049937.95,287733.7635
01023,1023,Choctaw,AL,8386,2847,19923,8690,5546,64481,280,358,60,743,910630.5382,258427.7164,51485.79186,22882.57416,36912.35485,14753.86917,34834.651,6034.618,1033863.336,302098.7777
01025,1025,Clarke,AL,9465,2999,24180,11716,8217,55986,0,548,107,726,1072612.253,304280.0157,76281.77997,33903.01332,32073.71243,12824.16752,34354.3767,5951.6316,1215322.122,356958.8282
01027,1027,Clay,AL,3029,3490,12463,5944,4448,55555,355511.8,117,208,400,574481.3937,140055.2829,41292.60768,18352.27008,128147.0459,41609.40394,19904.0048,3448.8704,763825.052,203465.8273
01029,1029,Cleburne,AL,1332,1809,6126,2985,3568,48621,872105.64,61,207,214,281789.8324,67247.45834,33123.20688,14721.42528,264378.2081,82082.50752,11275.4267,1954.1516,590566.6741,166005.5427
01031,1031,Coffee,AL,7390,4545,24518,12583,39404,65211,2520,272,50,458,1085707.543,286545.7995,365803.4876,162579.3278,37903.00443,15090.17186,21557.995,3734.68,1510972.03,467949.9792
01033,1033,Colbert,AL,6753,3271,21081,11057,7775,52830,12979.12,228,469,431,921461.2404,249473.2237,72178.51275,32079.339,33677.988,13116.74087,23050.0639,3995.0272,1050367.805,298664.3308
01035,1035,Conecuh,AL,8771,3366,23010,10873,19940,68151,22680,411,35,322,1032434.467,288050.603,185111.1954,82271.6424,45100.52216,17420.70543,15155.4935,2625.518,1277801.678,390368.4688
01037,1037,Coosa,AL,3585,2386,11003,5032,2401,40876,189639.8,145,172,323,505436.7188,132542.1854,22289.46741,9906.42996,74786.79834,24766.65414,16098.9382,2789.5636,618611.9227,170004.8331
01039,1039,Covington,AL,11305,5542,32628,15781,44560,97181,64030.4,350,304,494,1462926.841,397169.3349,413668.7496,183852.7776,72822.14685,27387.73354,24889.9924,4313.0152,1974307.73,612722.8612
01041,1041,Crenshaw,AL,8429,2897,20058,8732,20390,46664,33096,192,0,354,917511.8763,260092.3358,189288.7299,84128.3244,35614.38056,13345.6927,16409.67,2842.62,1158824.657,360408.9729
01043,1043,Cullman,AL,2905,8962,24110,12243,19578,344173,1517789.28,408,238,884,1115501.609,241982.3839,181750.601,80778.04488,607959.6874,201988.4433,42536.2678,7369.5544,1947748.165,532118.4265
