1,3-D~                            other pesticide
2,4-D~                            herbicide
2,4-DB~                           herbicide
ABAMECTIN~                        insecticide
ACEPHATE~                         insecticide
ACETOCHLOR~                       herbicide
ACIFLUORFEN~                      herbicide
ALACHLOR~                         herbicide
ALDICARB~                         insecticide
AMETRYN~                          herbicide
AMITRAZ~                          insecticide
ASULAM~                           herbicide
ATRAZINE~                         herbicide
AZADIRACHTIN~                     insecticide
AZINPHOS-METHYL~                  insecticide
AZOXYSTROBIN~                     fungicide
BENEFIN~                          herbicide
BENOMYL~                          fungicide
BENSULFURON~                      herbicide
BENSULIDE~                        herbicide
BENTAZONE~                         herbicide
BENZYLADENINE~                    other pesticide
BIFENTHRIN~                       insecticide
BROMACIL~                          herbicide
BROMOXYNIL~                        herbicide
BT        ~                        insecticide
BUPROFEZIN ~                       insecticide
BUTENOIC ACID~                     other pesticide
BUTYLATE     ~                     herbicide
CACODYLIC ACID~                    other pesticide
CAPTAN         ~                   fungicide
CARBARYL        ~                  insecticide
CARBOFURAN       ~                 insecticide
CHLORETHOXYFOS    ~                insecticide
CHLORIMURON        ~               herbicide
CHLOROPICRIN        ~              other pesticide
CHLOROTHALONIL      ~              fungicide
CHLORPYRIFOS        ~              insecticide
CHLORSULFURON       ~              herbicide
CLETHODIM           ~              herbicide
CLOFENTEZINE        ~              insecticide
CLOMAZONE           ~              herbicide
CLOPYRALID          ~              herbicide
COPPER              ~              fungicide
CRYOLITE            ~              insecticide
CYANAZINE           ~              herbicide
CYCLANILIDE         ~              other pesticide
CYCLOATE            ~              herbicide
CYFLUTHRIN          ~              insecticide
CYMOXANIL           ~              fungicide
CYPERMETHRIN        ~              insecticide
CYROMAZINE          ~              insecticide
CYTOKININ          ~              other pesticide
DCNA                ~              fungicide
DCPA                ~              herbicide
DELTAMETHRIN        ~              insecticide
DESMEDIPHAM         ~              herbicide
DIAZINON            ~              insecticide
DICAMBA             ~              herbicide
DICHLOBENIL         ~              herbicide
DICLOFOP            ~              herbicide
DICOFOL             ~              insecticide
DICROTOPHOS         ~              insecticide
DIFENZOQUAT         ~              herbicide
DIFLUBENZURON       ~              insecticide
DIMETHENAMID        ~              herbicide
DIMETHIPIN          ~              other pesticide
DIMETHOATE          ~              insecticide
DIMETHOMORPH        ~              fungicide
DIQUAT              ~              herbicide
DISULFOTON          ~              insecticide
DIURON              ~              herbicide
DODINE              ~              fungicide
DSMA                ~              herbicide
ENDOSULFAN          ~              insecticide
ENDOTHAL           ~              herbicide
EPTC                ~              herbicide
ESFENVALERATE       ~              insecticide
ETHALFLURALIN       ~              herbicide
ETHEPHON            ~              other pesticide
ETHION              ~              insecticide
ETHOFUMESATE        ~              herbicide
